Title,Link,Posted_on,Budget,Description,Country,Total_jobs_posted,Open_jobs,Total_reviews,Rating,Total_hires,Client_since,Client_spent
Call Center Systems Admin (Expert IT Person),https://www.upwork.com/job/~01bf5e3c772a248914,2021-07-20T17:59:54.901Z,0 USD,"I'm looking for an expert virtual IT person who has deep experience with call center platforms such as Five9, Talk Desk, Nice. 

The Dialer Administrator’s role includes administration of the dialing platform, creation of new inbound/outbound campaigns, reporting on campaign and performance, management of IVRs, its center and processes, customer service expectations, workforce management and other relevant details.

ESSENTIAL DUTIES AND RESPONSIBILITIES:
Create, maintain and manage dialing lists and campaigns
Manage performance, including monitoring of dropped calls, abandoned rates and other metrics needed to optimize call handling processes
Workforce management for advisor break/lunch schedules
Configuration and management of agents to achieve skill-based routing
Match lead to agent based on lead score and agent skill set
Respond to user reported issues via salesforce ticket system and process; troubleshoot with Agents and Management experiencing problems or inefficiencies
Explore and expand on the existing calling platforms automation and integrations
Work with 3rd party integrations, including our custom integrations with Salesforce and our lead management platform
Communicate with management and business users daily to define, monitor & implement strategies and initiatives to optimize departmental performance
Generate reports; configure report automation and scheduling as necessary
Trend analysis to guide business
Other duties as assigned


Key Competencies:

Professionalism, trustworthiness, and ethics
Excellent oral and written communication skills
Results orientation
Analytical and Problem solving
Organization
Detail oriented

EDUCATION & EXPERIENCE REQUIREMENTS:
Associate's degree or equivalent in a technical field preferred
Previous experience managing Five9 dialer software and IVR & ACD functionality in a 100+ seat contact center required
Detail-oriented, analytical, self-motivated, and comfortable with complex concepts
1 year Five9 (or similar) experience required

3+ years relevant experience administering telephony systems in a Call Center environment preferred
Ability to work in a fast paced environment and adjust focus and workflow based on changing deadlines and needs

Report writing and SQL are preferred

PHYSICAL AND COGNITIVE DEMANDS:
The physical demands described here are representative of those that must be met by an employee to
successfully perform the essential functions of the job. Reasonable accommodations may be made to
enable individuals with disabilities to perform the essential functions.

While performing the duties of this job, the employee is regularly required to:

Listen to employees and communicate verbal and written feedback; Must be able to exchange accurate information in these situations.
Observe and detect concerns or areas for improvement within the workplace
Frequently move about the office and customer/prospect locations in diverse environments.
Maintain a high level of consistent cognitive function to negotiate complex transactions with employees and students or vendors.
Stoop, kneel, or crouch when maneuvering the office environment.
Lift up 25lbs at times.
",United States,119,1,67,4.95,72,2017-07-17T00:00:00.000Z,77153.69 USD
AEC Recruiter,https://www.upwork.com/job/~0100fcca271fec0652,2021-07-20T17:14:14.556Z,0 USD,"We recently launched a new service that helps small architectural and engineering firms connect with remote architects, engineers, and CAD drafters/designers.

We're looking for someone who has experience recruiting for these types of positions, and who preferably also has experience recruiting for remote roles (platforms used to recruit for remote roles are much different than standard direct hire fills).

So if you have experience recruiting here on Upwork or finding remote contract candidates elsewhere, and also understand the AEC space (Architecture, Engineering, and Construction), we'd love for you to apply. Your workload will likely vary between sourcing for specific roles to find candidates for our clients and also adding candidates to our talent network for future clients.

This could start as part or full time work depending on experience and preference. Willing to add bonus structure on top of competitive pay for the right person.",United States,152,10,23,4.67,39,2014-05-20T00:00:00.000Z,135348.75 USD
"Django Website: New Agency Required! ..for total technical support, updating old site + new stuff.",https://www.upwork.com/job/~01782ad98abb6fb88e,2021-07-20T16:46:21.545Z,0 USD,I need a dedicated professional agency to help with all technical assistance on my Django website.,United Kingdom,76,2,23,4.6,39,2018-11-13T00:00:00.000Z,65383.52 USD
"Technical Writer (ful-time, long-term)",https://www.upwork.com/job/~011492f0f3d3d6db7a,2021-07-20T15:45:13.514Z,0 USD,"NXLog is looking for a Technical Writer who can help us enhance our product manuals, user guides and other documentation as well write blog posts.

The ideal candidate is an experienced IT professional who is keen on creating technical content. The job would also involve researching NXLog integration with third party solutions and shiny new tech that emerges.

A good understanding of networking, IT systems and general IT knowledge is necessary. You should also be a quick learner and eager to understand new technologies.

Requirements:

Sysadmin/DevOps skills on Linux and Windows, good understanding of IT systems
Experience in software development, preferably in IT security
Experience with modern documentation formats (asciidoc, docbook, markdown)
Experience with version control and using Git before
Professional English knowledge
Experience in remote working

Advantage:

Hands on work experience in the IT sector as a Sysadmin, programmer or DevOps engineer is a significant plus
Understanding of computer logs, experience with log management tools and SIEM products is a plus

Nice to have:

Experience with log QRadar, ArcSight, Splunk, Snare, syslogd, Logstash, Kafka, Scribe, ELK, Graylog, etc.
Experience with *BSD, Solaris, AIX, HP-UX, MacOS
The ideal candidate should have a strong IT background as well as outstanding written and verbal communication skills which enable him/her to explain complicated concepts in a simple manner.",Hungary,188,7,62,4.71,94,2012-12-29T00:00:00.000Z,944303.16 USD
Chief Executive Officer - Technology Startup,https://www.upwork.com/job/~011400caf8db845df7,2021-07-20T14:27:50.925Z,0 USD,"We are an innovative technology startup in the disaster management and recovery space, looking to take our new software startup to the next level. 

We are looking for someone to take the driver seat and lead the way with building partnerships, marketing plans, expansions, and bringing in new revenue streams. Our technology has innovative macro fundamentals that can be applied to industries far beyond our industry which open up huge opportunities for the right individual. 

You will work directly with our development team to add features and expand the vision, prepare presentations to potential clients and pitch to investors for further funding rounds. ",Canada,46,1,8,4.92,19,2019-02-09T00:00:00.000Z,25545.42 USD
"Technical Support  --ONLY FLUENT ENGLISH,HINDI,GUJARATI SPEAKERS",https://www.upwork.com/job/~01a1a70351c30e00b6,2021-07-20T13:04:19.672Z,0 USD,"We focus on providing software to independent convenience store owners across the United States and are looking to add a Technical Support member to the team.

You will collaborate and brainstorm with our sales team to reach out to independent convenience store owners in the United States. Our niche is in Big Data for retail in the United States to empower smaller scale retailers to compete against large corporations. 

To handle the responsibilities for this role you must be comfortable with calling and emailing.
You MUST be fluent in English, Gujarati, and Hindi.


Required Skills:

Linux
   SSH/ Terminal Environments
   Networking Interfaces

Windows
   Networking interfaces

Familiar with basic IOS and Android app troubleshooting



This is a long term position and you must be able to work 40 hours a week. You must be available from 8:00AM CST to 5:00PM CST Monday through Friday.",United States,188,2,32,4.69,40,2019-11-03T00:00:00.000Z,50812.27 USD
Cyber Security Recruiter - Remote,https://www.upwork.com/job/~013e482c4710bab35b,2021-07-20T13:03:32.141Z,0 USD,"Cyber Security Recruiter - Remote

This person will source and attract top talent to fill both our technical and non-technical positions. You will source and message passive candidates through LinkedIn Recruiter, screen candidates to determine qualifications, and guide them through the interview process. This person will assist with extending job offers, negotiating compensation, and will play an integral part in getting candidates to onboard with our clients. You will work with hiring managers to provide your expertise and suggestions on best practices and collaboratively create a recruiting strategy. You will work across all departments in the organization including but not limited to sales, pre-sales, professional services, product management, product marketing, marketing, technical support, accounting/finance and G&A.


Responsibilities

•	Manage all stages of the recruiting life cycle including sourcing, messaging, scheduling and screening candidates, debriefing with hiring managers and assisting with job offers.

•	Be the main point of contact for candidates throughout the entire interview process, ensuring timely communication and feedback

•	Prioritizing and providing best-in-class candidate experience

•	Manage multiple and various positions across the organization, including technical and non-technical positions

•	Partner with hiring managers and take on a consultative approach to provide your expertise on recruiting best practices, recruiting strategy, and interview process

•	Schedule and coordinate all candidate interviews throughout the process


Who You Are

The ideal candidate is an experienced recruiter and enjoys working on a variety of roles, both technical and non-technical and spanning from entry-level to senior-level. You enjoy being involved in the entire recruiting process from the day the job is approved up until the candidate's first day. You have excellent time management skills, have the ability to work under deadlines, and understand how to prioritize multiple positions.


Requirements

•	3-5 years of recruiting experience

•	2+ years of Cyber Security or IT recruiting experience

•	Experience with all stages of the recruiting lifecycle including sourcing and negotiating compensation

•	Proven skills with sourcing for passive candidates and an understanding of what it takes to get them to respond with interest

•	Experienced closer, understanding what it takes to get candidates to choose Stream even if they have competing offers

•	Understanding of recruiting metrics and how to utilize them to influence hiring decisions

•	Ability to work in a fast-paced environment and on a lean team



Bonus Points

•	Experience recruiting for a startup or high-growth company

•	A mixture of agency and corporate recruiting experience

•	You are a seasoned recruiter in the networking, network security, SD-WAN or SASE",United States,76,2,83,5.0,59,2011-10-22T00:00:00.000Z,209832.09 USD
Expert QA engineer,https://www.upwork.com/job/~010d55ed5862409d9f,2021-07-20T12:18:33.563Z,0 USD,"Weshop is a social commerce business that is growing fast and wants to deliver a robust, enjoyable user experience across multiple platforms.

Seeking a senior, experienced QA Automation Engineer to lead testing (automation and manual) of web and mobile applications, as well as API testing.

We have iOS and Android apps, as well as a web stack written in React and Node.

Our tools include Pivotal Tracker, Jmeter, Testrail, hosted on AWS with CI/CD in place for non-production environments.

This is a long-term engagement for the right person, combining technical and managerial responsibilities.

The first language of our developers is mostly Russian, so you will need to speak this fluently.

Qualifications
- Significant experience with test planning and execution for mobile applications and web
- Experience testing for cross-browser issues
- Experience with modern testing frameworks and tools
- Experience with performance and stress testing
- Experience using RESTful APIs and asynchronous JS
- Excellent understanding of web browsers, iOS and Android apps
- Ability to clearly document issue and support developers in remediation.
- Ability to prepare and present meaningful reports on stability
- Ability to prepare high-quality release notes

For the right candidate this will be a long-term full-time engagement",United Kingdom,39,4,3,5,11,2021-03-02T00:00:00.000Z,103467.01 USD
"Web Researcher for a Top Technology Recruiting Firm [Software, Greentech or Biotech]",https://www.upwork.com/job/~0159157a9de7c27f3a,2021-07-20T06:43:29.037Z,0 USD,"Web research (finding and assessing LinkedIn profiles) for a recruiting firm focused mostly on the green technology sectors (solar, energy efficiency, water efficiency, biodegradable materials, sustainable agriculture, etc.) and recruiting lots of software engineers, as well as other engineers, scientists and executives. This is an opportunity to build a long term career while you make the planet healthier and learn about new technologies.

Do you enjoy challenging, mentally stimulating work? Do you have perseverance and a positive, can-do attitude? Are you a reliable, cooperative team player with strong English? Are you looking for full-time remote work? Do you work well on your own?  If you answered yes to all of these, The Berkner Group may be for you.

We are open to candidates with no experience, and also candidates with extensive experience. Pay rates typically start in the range of $5/hr to $7/hr depending on your level of experience, plus small bonuses (and It is possible that we could pay more for someone with extremely strong skills and experience). There are ongoing opportunities for bonuses and pay increases over time, potentially up to $9-$12+ per hour plus profit sharing after a few years for the very best sourcers.

We require a minimum availability of 20 hours per week, and you can work as much as 50 hours per week. Please don't apply if you're not absolutely sure you can work at least 20 hours per week, doing very challenging web research. We do need to know your expected working schedule in advance, but you can work the schedule you like and you can change your schedule as needed as long as you communicate with us about it.",United States,117,10,97,4.99,88,2012-03-15T00:00:00.000Z,1767310.7 USD
Executive Assistant to CEO and to the Project Manager,https://www.upwork.com/job/~0194dd8474fdb5a1b4,2021-07-20T06:06:22.251Z,0 USD,"Hi everyone!

This is Shilan and I'll be doing the interviews for this job ad. Please see the job details below:

The Company: DM'S purpose is to bring excitement to data for its clients and we do this by overdelivering on excitement through serious fun, disrupting the status quo and living our values. Long story short we built Dashboards for our valuable clients. (Tech savvy people needed)

Team: You will support and collaborate primarily with the CEO (Cullen Brugman)  in his day-to-day work and the Project Manager (that's me) as well as being a cultural driver of the DM team. We're also providing the opportunity to improve yourself through continuous learning which is also a bonus!

Tasks & Responsibilities:
~Provide administrative support to the CEO (Help prepare reports and presentations)
~Provide administrative support in the lead generation-sales process.
~Calendar Management for CEO
~Meeting Preparation (coordination, agendas, minutes, etc)
~Email Management
~Take notes on behalf of the CEO
~Liaise with clients via email, and staff on behalf of the CEO (helping him to ensure we’re building stronger relationships with them)
~Data input and management of various systems(Xero, Email, Asana, Advanced administrative IT literacy in Microsoft Office, including Word, PowerPoint and Excel)
~Follow reasonable directives given by the CEO
~Monitor and control the allocated project schedules, milestones and deliverables ensuring projects are delivered to a high standard and all key project deliverable timelines are met on time and on budget
~Prepare communications, reports, presentations and correspondence on behalf of the CEO& leadership team.

Our Values:
~Integrity: Integrity through fairness and honesty.

~Support: Support through caring, partnering and being family centred.

~Empower: Empower through building strengths and providing knowledge.

~Excellence: Excellence through innovation, flexibility and best practice.

~Knowledge: Seeking for -eager to learn- tech savvy people.

Benefit:
We've worked with lots of people through Upwork over the years, and love finding the right people who fit with our team culture.

About you:
What you'll bring to the role;
~Superior writing and report presentation skills
~High attention to detail and ability to work under pressure to meet tight deadlines
~""No worries, let's do it! sort of a team player
~At least five years' experience in a similar or related role
~An intermediate level of organisational and project management skills
~The ability to prioritise decisively and juggle multiple tasks and priorities in a flexible, fast-paced environment

If this is you - Apply Now! 
Thank you!",Australia,78,3,26,5.0,38,2016-04-10T00:00:00.000Z,34446.89 USD
Chief Revenue Officer Consultant,https://www.upwork.com/job/~016e2974dfabfdf3ea,2021-07-20T01:04:53.428Z,0 USD,"We are looking for a seasoned CRO who can give us unique insights into our next phase of growth. 

We are B2B, SAAS, and in the market of Cyber Security and Enterprise Networking. ",Netherlands,276,2,161,4.88,207,2012-07-16T00:00:00.000Z,892898.54 USD
Moderator for a Professional Online Community (Weekday Hours),https://www.upwork.com/job/~01a8e983660ee73577,2021-07-20T01:02:08.426Z,0 USD,"Seeking a moderator for a professional online community, dedicating minimum 20 hours, max 35 hours a week. There is also an opportunity to expand hours as the relationship evolves. 

We are currently a small team that holds weekly team check-ins to ensure our communities are a safe and positive place for our users and minimize the number of trolls on our platform! 

This individual will be responsible for reviewing content within our communities and ensuring conversations on our platform follow our Community Guidelines. You will also be identifying important conversations to push out to our userbase to help facilitate further conversation and engagement.

Background in consulting, accounting, law, advertising, and tech a plus!",United States,31,2,15,4.87,19,2016-09-01T00:00:00.000Z,45335.4 USD
"Web Sourcer / Researcher for a Top Technology Recruiting Firm (Software, Greentech or Biotech)",https://www.upwork.com/job/~01a6e84e6df50dd7d8,2021-07-20T00:25:54.707Z,0 USD,"Web research (finding and assessing LinkedIn profiles) for a recruiting firm focused mostly on the green technology sectors (solar, energy efficiency, water efficiency, biodegradable materials, sustainable agriculture, etc.) and recruiting lots of software engineers, as well as other engineers, scientists and executives. This is an opportunity to build a long term career while you make the planet healthier and learn about new technologies.

Do you enjoy challenging, mentally stimulating work? Do you have perseverance and a positive, can-do attitude? Are you a reliable, cooperative team player with strong English? Are you looking for full-time remote work? Do you work well on your own?  If you answered yes to all of these, The Berkner Group may be for you.

We are open to candidates with no experience, and also candidates with extensive experience. Pay rates typically start in the range of $5/hr to $7/hr depending on your level of experience, plus small bonuses (and It is possible that we could pay more for someone with extremely strong skills and experience). There are ongoing opportunities for bonuses and pay increases over time, potentially up to $9-$12+ per hour plus profit sharing after a few years for the very best sourcers.

We require a minimum availability of 20 hours per week, and you can work as much as 50 hours per week. Please don't apply if you're not absolutely sure you can work at least 20 hours per week, doing very challenging web research. We do need to know your expected working schedule in advance, but you can work the schedule you like and you can change your schedule as needed as long as you communicate with us about it.",United States,117,10,97,4.99,88,2012-03-15T00:00:00.000Z,1767310.7 USD
New Product Concepts + New Product Development,https://www.upwork.com/job/~01964469075e0b3173,2021-07-19T23:15:35.203Z,0 USD,"Our brand is in the outdoor space (bearbuttteam.com) and we are looking for a mid-experience Product Designer/Developer for the following:
- Play a central role in new concept ideation, creation and testing: requires ability to guide competitive product research, understand data, identify appropriate product benchmarks, 2D concept creation and possess excellent written and spoken English. 
- Coach a small part-time team comprised of a part-time research person, part time copywriter and part-time photo shopper to create concepts for testing/evaluation.

- Some experience creating Tech Packs for soft goods (low to mid complexity)
- Some Experience creating surface designs for soft goods
- Some Experience working with other team members and factory partners to manage new product development. Have 1 other part time person who works on technical product/fabric evaluations.
- Overall, openness to learn and grow with a rapidly growing e-commerce business and play a central role in new product innovation. 

If you think this could be a fit, please provide links to samples of the new product soft goods work you've done.",United States,131,4,50,4.79,76,2018-08-27T00:00:00.000Z,168101.63 USD
CRM Workflow Specialist,https://www.upwork.com/job/~0189220accc968d0e0,2021-07-19T21:42:39.019Z,0 USD,"**Experience with Surefire, Daily AI, Total Expert a plus but not required. 

We are looking for a strong systems workflow candidate that can review business requirements, compare implementation options and ultimately execute on system features.
Our team environment will require the candidate to have strong communication skills, a customer service mentality, and drive to dive into the systems and processes to fully understand the business needs.
Our team members are self-motivated, can work independently on various projects, while also working closely with internal teams to make sure our builds are effectively supporting our end users.
As part of a CRM team, you will work closely with the Sales and Marketing groups to provide day-to-day support of business operations in CRM. You will be the primary CRM support for the Team: managing activities, developing reports and dashboards, keeping system and process documentation up to date with changes, and handling ad-hoc user requests.
The ideal candidate will have strong technical skills and be able to quickly learn and demonstrate the capabilities of our CRM instance.
Actively participate in brainstorming sessions when coming up with workflow and process solutions given a set of business requirements.
Seeing projects through from start to finish; from gathering business requirements through to launch and training of end users.
Execute basic CRM user administration tasks including access management, permission sets, data updates, role assignments, uploads, etc.
Develop reports, dashboards, and processes to continuously monitor data quality and integrity
Assist in data import/export/updates, system customization.
Assist in monitoring data quality and integrity.
Identifying incorrect uses of the system and providing additional training to end users when needed
Execute data migration/cleansing projects
Prioritize and cultivate a positive user support experience.
Assist users with best practices to improve and increase their knowledge of procedures and system navigation
Assist with training end users on the use of various systems
Manage and work the support queue by promptly triaging cases, answering end-user questions, fulfilling requests, and resolving system incidents.
High attention to detail
Ability to learn quickly and work independently
Ability to see opportunities for optimization
Highly communicative; strong listening, clarifying and understanding as well as conveying information
Ability to summarize processes and answer questions about why a specific process was put in place and how it is effective as well as what decisions were made and why throughout the process
Pragmatic ability to balance process compliance, quality, innovation, and expedience
Ability to be effective in a fast-paced, quickly changing environment
Works well under pressure
Ability to take organized and detailed notes
Ability to discuss projects at a high level as well as dive into the low level details
Strong ability to understand problems and solutions from several angles including the internal teams impacted, system maintenance, management, and client experience.
Desire to expand responsibilities beyond initially defined job responsibilities to support emerging needs within the organization
1-3 years of CRM or data process management experience in any size environment
Realizes there are often several ways to solve one problem and uses critical thinking and input from others to find a best solution
Willingness to reach out for help/clarifications from other team members when a problem requires
Has strong investigative skills and looks for facts when discovering the source of a problem
Team and Service
Provides outstanding professional service by exceeding all user and client/vendor expectations
Responds positively and promptly to issues and ensures resolution
Acts with honesty and integrity to create trusted relationships with teams
Shows empathy for system users and client experience while keeping in mind long term management of system processes
Shows genuine commitment and reliability
Shares successes and celebrates other team members’ successes
Has courage to admit failure and keeps a positive attitude while finding a resolution
Has a strong and confident presence when interacting with end-users that portrays subject matter expertise
Identifies and understands issues, problems and opportunities for improvement
Compares data from different sources to draw conclusions
Takes actions that are consistent with available facts, constraints, and probable consequences
Makes data-driven decisions and can refer to why specific decisions were made
Highly organized approach to work
Demonstrates effective time management skills
Provides realistic estimates for project timelines
Clarifies, re-evaluates as necessary and meets deadlines",United States,140,2,85,4.64,100,2016-07-05T00:00:00.000Z,21840.42 USD
Marketing Manager at B2B SaaS Marketplace,https://www.upwork.com/job/~01d32208230ab3bc2f,2021-07-19T21:37:44.859Z,0 USD,"Each month over 35,000 Human Resource professionals use our research to find and buy the right software for their business. We are essentially the ""NerdWallet / Wirecutter for HR Tech.""

The ideal marketing candidate most likely wants to start their own business one day, and is an extremely adaptable marketer who is not afraid to work across a wide variety of disciplines (paid media, email, SEO, etc).

Your job will be to help spread the word about the work that we’re doing so that more HR people know about our site. Specifically this would entail:
• Managing our weekly newsletter
• Assisting with SEO: keyword planning, editing content, link building
• Writing blog posts
• Helping build our expert community - interviews, virtual events, podcasts
• Social media marketing
• Managing virtual assistants
• Whatever else comes up to grow our reach (creating/marketing online courses, industry research, paid media management, etc).

The ideal candidate:
• You want to work at an extremely early stage company where you'll wear many hats and be stretched to learn every day
• You enjoy working remotely in a results oriented environment with very few meetings
• You are a fast learner and don't mind taking on new responsibilities
• You are coachable and adapt after feedback
• You are analytical and ROI focused with every effort
• You are creative with marketing strategies and messaging
• You have a long track record of excelling (school, work, athletics, etc)

SelectSoftware is a two year old company that is fully remote. This role is for anyone who wants to make a big impact at a small company!",United States,24,4,6,5,15,2014-07-28T00:00:00.000Z,43427.88 USD
IT Business Analyst needed for ongoing Requirements Gathering for New Web Application,https://www.upwork.com/job/~01130bad2dc8cb07b5,2021-07-19T21:29:09.126Z,0 USD,"- Has a comprehensive understanding of the Software Development Life Cycle Process and Agile and Waterfall IT project methodologies

- Clarifies requirements with the help of flow diagrams and use cases

- Collects, analyzes, prioritizes, and manages requirements using standard BA tools such as Jira / requirements traceability matrices to ensure alignment with business strategy

- Understands core business drivers and metrics related to customer experience, return on investment, process improvement, and other business focused concepts

- Responsible for maintaining a deep awareness of how a business operation works and help stakeholders explore technology possibilities to execute more effectively in their roles

- Represents and champions business stakeholder’s interests during IT discussions

- Acts as a translator/interpreter between business and technology experts during requirements gathering and design discussions.

- Documents requirements utilizing various business requirement elicitation techniques (e.g. interviews, surveys, document analysis, etc.)

- Performs gap analysis to identify applications, processes and differences that must be considered to achieve the desired state requested by the stakeholders.

- Creates test case scenarios and manages user acceptance testing (UAT) to validate the results and ensure development met the documented requirements

- Be well organized, highly motivated, and process driven with the ability to prioritize and collaborate in a multi-tasking environment

- Has analytical, critical thinking and problem-solving abilities with high-level presentation and negotiation skills to influence project stakeholders

- Displays attention to deliver high quality and accurate work, is detail-oriented and delivers accurate, highly quality work. Checks work to ensure accuracy and completeness

- Has a strong ability to adapt and work in a fast-paced environment and handle multiple projects simultaneously with an eye for prioritization

- Possesses excellent verbal and written communication skills and the ability to interact professionally with a diverse group, executives, managers, and subject matter experts.  Business requirements and technical documents need to be clear and concise

- Ability to influence stakeholders to achieve results and ensure long term objectives are met",United States,56,1,36,4.71,37,2008-06-05T00:00:00.000Z,35539.7 USD
America Time Zone only - Operations Manager with Digital Marketing Experience,https://www.upwork.com/job/~01d2ed4efe39b5ff6d,2021-07-19T21:23:07.064Z,0 USD,"We'll only consider candidates located in South America, Central America or North America


Hi,

My company, Player A LLC is looking for an Operations Manager to be my right hand, make sure that things get done on time and with high-quality standards, and manage a small team. 

We are a coaching and consulting company that specializes in helping mission-driven experts scale their businesses by improving their sales and marketing and becoming their best selves.

I’m looking for a motivated, right-hand person that can really help me scale this business to the next level.   This job is all about being organized and getting things done on time, every time.  

It also requires you not be afraid of “getting your hands dirty” with certain tech platforms.  For example, we use Clickup, Kajabi, Aweber and a few others.  You don’t have to know how to use them, but using those or similar applications is a must.  

You can find out more about us at www.ronreich.com. 

I’m really looking for someone who can grow with the company as we grow.  Ideally, you are also committed to growing as a person as well. 

The vision is that this position will start out at 10-15 hours a week.

I’m looking forward to seeing your proposal!

Ron",United States,290,2,17,5.0,216,2006-12-02T00:00:00.000Z,158571.04 USD
Customer Success Systems Manager,https://www.upwork.com/job/~01bcc2728055ff0180,2021-07-19T20:31:39.316Z,0 USD,"We’re revolutionizing the integration industry and we want you to join us! Our core mission at Celigo is simple: To make automation as simple as possible by enabling anyone in the enterprise to build or deploy integrations. You get the best of both worlds: a start-up opportunity at a company that has already established itself in the market with thousands of happy customers.

We are looking for a Customer Success Systems Manager who will be focused on managing the software systems that our Customer Success organization utilizes. 

What would you do, if hired?

* Works on assignments dealing with the routine and daily operation, use, configuration, and maintenance of the various systems.
* Manages community areas within the various systems including functionality, appearance, tabs, and settings.
* Identifies and communicates opportunities for process and quality improvements, providing feedback on usage, defects, and suggested enhancements.
* Acquires and maintains knowledge of current technology as it applies to the various systems.
* Maintains procedures and policies to ensure the security and integrity of systems/networks.
* Writes and maintains technical procedures and policy documentation.
* Acts as an internal consultant by analyzing data and recommending solutions to utilize the systems to deliver, track, and measure performance to meet organizational objectives.
* Creates and updates resources to train and support learners on how to use the technology for online and professional development.
* Responsible for capacity, storage planning, and database performance.

Who are we looking for?

* Bachelor's degree in Computer Science, Information Technology, System Administration, or a closely related field, or equivalent experience required
* 3-5 years of database, network administration, or system administration experience
* Familiarity with SAP Litmos, Gainsight, Zendesk, Salesforce, and/or NetSuite desired
* Ability to solve problems in stressful situations
* Strong attention to detail
* Strong communication skills
* Ability to explain technical concepts to inexperienced users
* A proven track record of developing and implementing IT strategy and plans
* Strong knowledge of implementing and effectively developing helpdesk and IT operations best practices

Why you’ll love it here:

* Everything Integrated. We are solving a really hard problem that affects almost every business on the planet: integrating cloud apps
* iPaaS Leader. We’re at an exciting crossroads as we re-imagine the Integration and iPaaS space. This will take teamwork, creativity, strategic thinking, and a willingness to advance the market.
* Take A Stand. We’re a company that stands for something. Celigo’s Taking a Stand initiative has the goal to promote diversity, equity, and inclusion. 
* Work. Life. Balanced. Starting your first year, we offer a 3-weeks of vacation, plus holidays to recharge and spend time with family and friends.
* Perks. We offer a strong benefits package, a tech stipend, pre-tax commuter expense reimbursement, recognition opportunities, and many other cool perks.

Celigo is proud to be an equal opportunity workplace. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity, or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements.",United States,94,2,37,4.94,74,2011-01-01T00:00:00.000Z,3927917.03 USD
7 Star Customer Support Lead - E-commerce ,https://www.upwork.com/job/~0106d4771b9c9ebc33,2021-07-19T19:11:28.314Z,0 USD,"Thanks for your interest in this position!

We own multiple Shopify / Amazon eCommerce businesses and are currently spending too much time operating and maintaining the business. It's an incredibly valuable part of the business, but We need you to effectively provide customer support

We have a vision, a crew and a ship. We need you to maintain the ship. We have done several million in sales and plan on at least doubling that this year, but we can't do that without your help! Our business consists several amazing people and teams - all fun, outgoing and collaborative, but very hard working. If you're interested in a challenging work environment with great people, please apply. We're a rapidly growing business so there is lots of opportunity for career growth.

Personal Requirements:

- 7 star customer service experience preferably 3 - 5 years particularly in e-commerce stores.

-Flawless attention to detail; One mistake could cost the business thousands of dollars. If you are not someone that triple checks their work, this is not for you.

-Excellent written and verbal English; I cannot communicate the direction of the business if we cannot fully understand each other.

-Growth mindset; A desire to learn more, do more, grow more - personally and professionally. You have spark to grow? We have much more to fire it up! That is the culture we have. Everyone on our team has a passion to have an impact and perform better than they did yesterday.

-Autonomy and initiative; Are you a self starter? Do you need to always be told what to do or will you find ways to make things better on your own? If you are looking to clock in, give a B effort while you cross off to-dos, then clock out and forget about your job until tomorrow - this isn't for you.

- We need a trendy beast! The dropshipping industry is constantly changing - what works right now might not work in a month. It will be your responsibility to constantly find and test new strategies, methods, variations etc.

-Is not only receptive to feedback, but seeks it; Furthermore, implements the feedback. However, if you're not one to learn from your mistakes, or those of your peers, this position is not for you.

-Ability to successfully work with a phenomenal team; Willing to work together and do what's necessary to successfully complete a project on time, on budget and up to standard.

-Systems thinker; Is not only aware of, but considers how all the pieces work together when making decisions. Ex: Doing X will affect Y and Z but not Q. We shouldn't do A because that will cause E to breakdown.

Responsibilities:

As a Senior Lead, you will:

- Coach Support Leads on leadership qualities, maximizing your team's performance while overseeing the performance management process.

- Directly manage a team of 3 - 5 Support Leads who are responsible for managing a support team

- Oversee and drive the leadership development of all Leads in your region.

- Work closely in executing any value creation or effort reduction initiatives for our  Shopify store.

- Be curious when looking into performance opportunities and identifying areas of focus for your team and other Support departments. 

Be responsible for the Merchant experience and regional results for your team’s Value and Productivity KPIs.

Analyze and present performance data pertaining to Support and your region.

Work with the Advisor Leadership team to manage and contribute to the rollout of new initiatives with the Advisor team. This includes, but is not limited to: drafting communications, considering stakeholders and change management.

Work alongside Support Operations, QA, Workforce Planning, Technical Support, Knowledge Management, Training and Talent Teams.",United States,73,5,25,4.74,49,2019-01-06T00:00:00.000Z,95211.47 USD
"Technical Writer- SOP for Law Firm (Mainly Includes Operations, Legal Team and Customer Service)",https://www.upwork.com/job/~012ee7c48a0a034b67,2021-07-19T19:02:41.537Z,0 USD,"We are a mid-sized Family Law Firm looking to expand throughout the US. We are currently focused on streamlining our core processes and creating a consistent experience for our team members and clients.  Because of this, we are looking for an experienced SOP/Technical Writer who has experience collaborating with SMEs to create companywide SOPs, checklists and form templates for all of our teams including, but not limited to: Legal, Customer Service/Sales and Operations.

This individual should have experience in technical writing, specifically in writing SOPs and will be able to provide a portfolio of previous work.

This individual will be considered our in-house expert in creating our SOPs, and should be proactive and able to take the initiative with stakeholders and team members that can support the creation of these documents.

We see this being a long-term, ongoing contract.",United States,37,1,26,4.9,29,2014-04-21T00:00:00.000Z,128401.17 USD
